Item Code,Item Description,Strength,Dosage Form,Category
BB044100,Iron Sucrose 20mg/ml(Venofor injection),20mg/ml,Injectable,Injectables
BB044400,"Ketamine hydrochloride 50mg/ml, 10ml",50mg/ml,Injectable,Injectables
BB044700,Labetalol 5mg/ml IV,5mg/ml,NA,Injectables
BB045300,L-Asparaginase for Injection10000 K.U./Vial,10000 KU/vial,Injectable,Injectables
BB045600,Leucovorin Calcium 15mg PFR,15mg,Injectable,Injectables
BB045900,Leucovorin Calcium 50mg PFR,50mg,Injectable,Injectables
BB046800,"Lignocaine hydrochloride 1%, 25ml",1.00%,Injectable,Injectables
BB047100,"Lignocaine hydrochloride 2%, 25ml",2.00%,Injectable,Injectables
BB047400,"Lignocaine hydrochloride 5%+glucose 7.5%,heavy spinal,2ml",5%/7.5%,Injectable,Injectables
BB047700,Lignocaine Hydrochloride Injection and Adrenaline 1:100000 Inj. 2% ? 50ml,01:00:00 AM,Injectable,Injectables
BB048900,"Magnesium Sulphate 50%, 2ml ampoule",50.00%,Injectable,Injectables
BB049200,"Mannitol 20%, 250ml",20.00%,Injectable,Injectables
BB049500,"Medroxyprogesterone acetate injection 150mg/mL, 1mL vial with 2ml syringe with 22g 0.7 X 25mm needle",150mg/ml,Injectable,Injectables
BB050400,Meropenem 500mg Injection,500mg,NA,Injectables
BB051000,"Mesna 100mg/ml, 2ml",100mg/ml,Injectable,Injectables
BB051300,"Mesna 100mg/ml, 4ml",100mg/ml,Injectable,Injectables
BB051600,Mesna 200mg/ml,200mg/ml,Injectable,Injectables
BB051900,"Methotrexate 50mg vial,2ml",50mg,Injectable,Injectables
BB052200,"Methotrexate 50mg/ml ,2ml, preservative free for Intrathecal",50mg/ml,Injectable,Injectables
BB052500,"Methotrexate 100mg/ml, 10ml",100mg/ml,Injectable,Injectables
BB052800,Methotrexate 15mg/ml (Preservative free) isotonic,15mg/ml,NA,Injectables
BB053100,"Methotrexate 25mg/ml, 2ml",25mg/ml,Injectable,Injectables
BB053700,Methotrexate 500mg/20ml,500mg/20ml,Injectable,Injectables
BB054000,"Methylprednisolone acetate 40mg/ml,2ml",40mg/ml,Injectable,Injectables
BB054300,"Methylprednisolone acetate 500mg,PFR",500mg,Injectable,Injectables
BB054600,"Metoclopramide hydrochloride 5mg/ml, 2ml",5mg/ml,Injectable,Injectables
BB054900,"Metronidazole 5mg/ml, 100ml",5mg/ml,Injectable,Injectables
BB054950,"Midazolam 1mg/ml,1ml",1mg/ml,Injectable,Injectables
BB055500,Mitomycin 2mg PFR,2mg,NA,Injectables
BB056100,"Morphine sulphate 10mg/ml, 1ml",10mg/ml,Injectable,Injectables
BB056101,"Morphine Sulphate 15mg/ml, 1ml",15mg/ml,NA,Injectables
BB056700,Naloxone 0.02mg/ml2ml,0.02mg/ml,NA,Injectables
BB057300,"Neostigmine 2.5mg/ml, 1ml",2.5mg/ml,Injectable,Injectables
BB057301,"Neostigmine 2.5mg/5ml,5ml",2.5mg/5ml,NA,Injectables
BB057600,"Noradrenalin 1mg/ml, 4ml",1mg/ml,Injectable,Injectables
BB057900,Ondancetrone 8mg/2ml Injection,8mg/2ml,NA,Injectables
BB058200,Ondansetron 4mg/2ml,4mg/2ml,NA,Injectables
BB058500,"Oxaliplatin 5mg/ml, 20ml",5mg/ml,Injectable,Injectables
BB058800,"Oxaliplatin, 100mg/50ml",100mg/50ml,Injectable,Injectables
BB059100,"Oxaliplatin, 50mg/10ml",50mg/10ml,Injectable,Injectables
BB059400,"Oxytocin 10 IU/ml, 1ml",10 IU/ml,Injectable,Injectables
BB059700,"Paclitaxel 6mg/ml, 50ml",6mg/ml,Injectable,Injectables
BB060000,"Paclitaxel concentrate 6mg/ml, 16.67ml (100mg) injection",6mg/ml,Injectable,Injectables
BB060600,"Paclitaxel concentrate 6mg/ml, 50ml ( 300mg) injection",6mg/ml,Injectable,Injectables
BB060900,"Paclitaxel concentrate 6mg/ml, 5ml (30mg) injection",6mg/ml,Injectable,Injectables
BB061800,"Pancuronium Chloride 2mg/ml,1ml",2mg/ml,Injectable,Injectables
BB062100,"Paraldehyde, 10ml",10ml,Injectable,Injectables
BB062700,"Pethidine hydrochloride 50mg/1ml, 2ml",50mg/ml,Injectable,Injectables
BB063000,"Phenobarbitone sodium 200mg/ml, 1ml",200mg/ml,Injectable,Injectables
BB063300,"Phenytoin soldium 50mg/ml,2ml",50mg/ml,Injectable,Injectables
BB063600,"Phytomenadione 10mg/ml, 1ml (Vitamin K)",10mg/ml,Injectable,Injectables
BB063900,"Phytomenadione 2mg/ml, 1ml (Vitamin K)",2mg/ml,Injectable,Injectables
BB064500,"Piperacillin 2g+Tazabactam 0.25g/50ml, 50ml",2.25g/50ml,Injectable,Injectables
BB064800,"Piperacillin and Tazobactam (3.375g, 4.5g vial)",3.375g,Injectable,Injectables
BB065100,"Potasium Chloride 150mg/ml,10ml",150mg/ml,Injectable,Injectables
BB065400,"Potassium chloride 20%, 10ml",20.00%,Injectable,Injectables
BB066000,Procaine benzylpenicillin 1g PFR,1g,Injectable,Injectables
BB066300,"Procaine benzylpenicillin, 3g PFR",3g,Injectable,Injectables
BB066900,"Promethazine hydrochloride 25mg/ml, 2ml",25mg/ml,Injectable,Injectables
BB067200,"Propofol 10mg/ml,10ml",10mg/ml,Injectable,Injectables
BB067500,"Quinine dihydrochloride 300mg/ml, 2ml",300mg/ml,Injectable,Injectables
BB067800,Ranitidine Vials 50 mg vial,50mg/vial,Injectable,Injectables
BB068400,Rituximab 500mg vial,500mg/vial,Injectable,Injectables
BB068700,"Salbutamol sulphate 1mg/ml, 5ml",1mg/ml,Injectable,Injectables
BB069000,"Sodium bicarbonate 4%, 50ml",4.00%,Injectable,Injectables
BB069300,"Sodium chloride 0.9%, 1000ml",0.90%,Injectable,Injectables
BB069600,"Sodium chloride 0.9%, 200ml",0.90%,Injectable,Injectables
BB069900,"Sodium chloride 0.9%, 500ml",0.90%,Injectable,Injectables
BB070200,"Sodium lactate + glucose (darrows half-strength in dextrose 5%), 1000ml",5.00%,Injectable,Injectables
BB070800,"Sodium lactate + glucose (darrows half-strength in dextrose 5%), 500ml",5.00%,Injectable,Injectables
BB071100,"Sodium lactate + glucose (paed), 20ml",5.00%,Injectable,Injectables
BB071400,"Sodium lactate compound (Ringers lactate), 1000ml",1,Injectable,Injectables
BB071700,"Sodium lactate compound (Ringers lactate), 500ml",1,Injectable,Injectables
BB072000,Sodium mercaptoethane Sulphate (Mesna)100mg/ml,100mg/ml,Injectable,Injectables
BB072300,Suramin sodium 1g PFR,1g,Injectable,Injectables
BB072600,"Suxamethonium chloride 50mg/ml, 2ml",50mg/ml,Injectable,Injectables
BB072900,"Thiopentone sodium 500mg, PFR",500mg,Injectable,Injectables
BB073500,Tramadol 100mg Injection,100mg,Injectable,Injectables
BB074100,Tranexamic Acid 500mg vial,500mg,Injectable,Injectables
BB074400,Triamcinolone acetate 40mg/ml1ml,40mg/ml,Injectable,Injectables
BB075000,Vancomycin 500mg for injection,500mg,Injectable,Injectables
BB075300,"Vecuronium Bromide 10mg, PFR",10mg,Injectable,Injectables
BB075600,"Vinblastine 1mg/ml, 10ml in flip top vial",1mg/ml,Injectable,Injectables
BB075900,"Vinblastine Sulphate 10mg/ml, 10ml",10mg/ml,Injectable,Injectables
BB075901,Vinblastine 2mg,2mg,NA,Injectables
BB076200,"Vincristine 1mg/ml, 10ml",1mg/ml,Injectable,Injectables
BB077100,"Water for injections, 10ml",10ml,Injectable,Injectables
BB077400,"Zoledronic acid 4mg PFR, With diluent",4mg,Injectable,Injectables
BB077700,"Zoledronic Acid, 4mg/5ml",4mg/5ml,Injectable,Injectables
CC000300,Anti-D human immunoglobulin 300 micrograms/ml,300mcg,Injectable,VACCINES
CC000600,Anti-snakebite serum (for Central and Southern African snakes),1,Injectable,VACCINES
CC000900,"Hepatitis B vaccine, 20mcg/ml, 10ml",20mcg/ml,Injectable,VACCINES
CC001000,"Hepatitis B vaccine, 20mcg/ml, 1ml",20mcg/ml,Injectable,VACCINES
CC001500,"Rabies vaccine course, (1x 5, 0.5ml/dose PFR and 1x5 vials diluent)",0.5ml/dose,Injectable,VACCINES
CC001800,"Tetanus antitoxin 1500 IU/ml, 1 ml",1500IU/ml,Injectable,VACCINES
CC002100,"Tetanus antitoxin 5000IU/ml, 4ml",5000IU/ml,Injectable,VACCINES
CC002400,"Yellow fever vaccine 10-dose (5ml) vial, PFR + diluent ampoule",5ml,Injectable,VACCINES
CC002401,Yellow fever vaccine 5-dose (2.5ml) vial PFR+diluent ampou,2.5ml,Injectable,VACCINES
DD000900,Alcohol 96% (drum),96.00%,N/A,Raw materials
DD002450,Bronopol powder1gm,1g,NA,Raw materials
DD002700,Calamine,1,lotion,Raw materials
DD003300,Chloroform,,inhalation,Raw materials
DD003350,Chloroform Drum Strength,,inhalation,Raw materials
DD004200,Crystal violet (Gentian violet),,Solution,Raw materials
DD005100,Formaldehyde liquid,,Liquid,Raw materials
DD005400,Formaldehyde liquid 40%,,Liquid,Raw materials
DD005701,Glacial acetic acid 99%,,Liquid,Raw materials
DD006000,Glycerine (drum),,Liquid,Raw materials
DD006300,"Glycerine, 500ml",,Liquid,Raw materials
DD006301,"Glycerine, 1000ml",,Liquid,Raw materials
DD006600,"Hydrochloric acid, concentrated",,Liquid,Raw materials
DD007800,Methyl alcohol,,Liquid,Raw materials
DD007850,Morphine powder 1gm,1gm,Solution,Raw materials
DD009000,Paraffin soft yellow (drum),,Liquid,Raw materials
DD009300,Phenol crystals,,Solution,Raw materials
DD009600,Potassium iodide,,Solution,Raw materials
DD010250,Soda Lime,,Solution,Raw materials
DD011100,Sodium thiosulphate,,Solution,Raw materials
DD012000,Zinc oxide,,Solution,Raw materials
DD651500,"Barium enema administration kit (tubing, Air insufflator an",,NA,Raw materials
DN000100,Misoprostol 200mcg tablet,200mcg,Tablet,Miscellaneous items
DN000200,Albendazole 400mg tablet,400mg,Tablet,Miscellaneous items
DN001400,Amoxicillin 500mg tablet,500mg,Tablet,Miscellaneous items
DN001600,Metformin 500mg tablet,500mg,Tablet,Miscellaneous items
DN001650,Methylated spirit,,Liquid,Miscellaneous items
DN001800,Captopril 50mg tablet,50mg,Tablet,Miscellaneous items
DN001900,Spironolactone 25mg,25mg,Tablet,Miscellaneous items
DN002100,Metronidazole suspension 40mg/ml 120 ml,40mg/ml,Injectable,Miscellaneous items
DN002150,Medical and surgical supplies (VMMC),1,Supply,Miscellaneous items
DN002450,Vertical Sterilizing machine (Autoclave),1,machine,Miscellaneous items
DN002550,Washing machine,1,machine,Miscellaneous items
DN002800,Metronidazole injection 500mg/100ml,500mg/100ml,Injectable,Miscellaneous items
DN002900,Malaria Rapid Diagnostic Test (MRDT) Kits,1,Test kit,Miscellaneous items
DN003300,Cotton Tipped Applicator,1,Supply,Miscellaneous items
DN003400,Endodontic Irrigation syringe,1,Supply,Miscellaneous items
DN003500,Serological pipette,1,Supply,Miscellaneous items
DN003600,Y-type Blood set,1,Supply,Miscellaneous items
DN003700,Midstream Collection Kit,1,Supply,Miscellaneous items
DN003800,Cefixime 400mg f/c (blister),400mg,Tablet,Miscellaneous items
DN003900,Dia Pad,1,Supply,Miscellaneous items
DN004000,BZK Towelete,1,Supply,Miscellaneous items
DN004100,Ankle Brace,1,Supply,Miscellaneous items
DN004120,"Apron, disposable, plastic 75cmx125cm",1,Supply,Miscellaneous items
DN004130,"Apron, protection, plastic reusable",1,Supply,Miscellaneous items
DN004140,Battery drycell alkaline AA 1.5V,1,Supply,Miscellaneous items
DN004150,"Biohazard bag, adult size",1,Supply,Miscellaneous items
DN004160,Blanket medium 150cmx200cm,1,Supply,Miscellaneous items
DN004170,Body bag adult size 230cmx100cm,1,Supply,Miscellaneous items
DN004180,"Body bag infant, 120cmx80cm",1,Supply,Miscellaneous items
DN004190,Cool pack,1,Supply,Miscellaneous items
DN004200,Gauze Sponge 4x4 16 Ply,1,Supply,Miscellaneous items
DN004210,Coverall medium,1,Supply,Miscellaneous items
DN004220,Coverall with hood,1,Supply,Miscellaneous items
DN004230,"Gloves powder free examination, large",1,Supply,Miscellaneous items
DN004240,"Gloves powder free examination, medium",1,Supply,Miscellaneous items
DN004250,"Gloves powder free examination, small",1,Supply,Miscellaneous items
DN004270,Gumboots size 42,1,Supply,Miscellaneous items
DN004280,"Gynaecological gloves, size 7 ?",1,Supply,Miscellaneous items
DN004290,Head band,1,Supply,Miscellaneous items
DN004295,Coverall large,1,Supply,Miscellaneous items
DN004300,Cotton Balls,1,Supply,Miscellaneous items
DN004309,Instruments for tents,1,Supply,Miscellaneous items
DN004310,"MF coverall,XL",1,Supply,Miscellaneous items
DN004320,"Nasal cannula, adult",1,Supply,Miscellaneous items
DN004330,Nasal oxygen prongs (neonates),1,Supply,Miscellaneous items
DN004340,"Nasal oxygen, adult",1,Supply,Miscellaneous items
DN004350,"Nasal oxygen, child",1,Supply,Miscellaneous items
DN004360,Overpack cardboard + polysyrene insert,1,Supply,Miscellaneous items
DN004370,Pedal bins/step bins 20 Litres,1,Supply,Miscellaneous items
DN004380,"Protective footwear boots, size 8",1,Supply,Miscellaneous items
DN004390,"Protective footwear boots, size 9",1,Supply,Miscellaneous items
DN004400,Pant Lines,1,Supply,Miscellaneous items
DN004401,"Protective footwear boots, size 10",1,Supply,Miscellaneous items
DN004410,Rectangular tent 24m2,1,Supply,Miscellaneous items
DN004420,Reinforced plastic tarpaulin 4x50m,1,Supply,Miscellaneous items
DN004430,Silver cloth tape,1,Supply,Miscellaneous items
DN004440,Soap,1,Supply,Miscellaneous items
DN004458,"Patient stretcher, 2 section,180x55x80cm with side rails",1,Supply,Miscellaneous items
DN004460,Thermometer body,1,Supply,Miscellaneous items
DN004470,Povidone iodine 10% solution,10.00%,Solution,Miscellaneous items
DN004475,Top guard kit,1,Supply,Miscellaneous items
DN004480,V-max goggles,1,Supply,Miscellaneous items
DN004490,Yellow bags,1,Supply,Miscellaneous items
DN004500,Thermacare Heat Wraps,1,Supply,Miscellaneous items
DN004600,Gauze Sponge 2x2,1,Supply,Miscellaneous items
DN004700,Gause Swab 4X4 Non Woven,1,Supply,Miscellaneous items
DN004800,Oral Dispensing Syringe 10ml,1,Supply,Miscellaneous items
DN004900,Facial Tissue 2 Ply,1,Supply,Miscellaneous items
DN005000,X - Ray Casette 35cm x 43cm,1,Supply,Miscellaneous items
DN005100,X - Ray Casette 35cm x 35cm,1,Supply,Miscellaneous items
DN005200,X - Ray Casette 18cm x 43cm,1,Supply,Miscellaneous items
DN005300,X - Ray Casette 30cm x 40cm,1,Supply,Miscellaneous items
DN005400,X - Ray Casette 24cm x 30cm,1,Supply,Miscellaneous items
DN005500,Disposable Electrosurgical Contro,1,Supply,Miscellaneous items
DN005900,Air Insufflator,1,Supply,Miscellaneous items
DN006000,One - Short Inflator,1,Supply,Miscellaneous items
DN100000,"Ergometrine maleate 0.2mg/ml, 1ml",0.2mg/ml,Injectable,Miscellaneous items
DN100100,Dexamethasone 4mg/ml injection,4mg/ml,Injectable,Miscellaneous items
DN100101,Dexamethasone injection 5mg/ml,5mg/ml,Injectable,Miscellaneous items
DN100700,Ampicillin 1g,1g,Injectable,Miscellaneous items
DN100800,"Benzathine benzylpenicillin 1.2MIU vials, powder for injecti",1.2MIU,Injectable,Miscellaneous items
DN101000,"Artesunate injection 60mg/ml,1ML",60mg/ml,Injectable,Miscellaneous items
DN101100,Benzathine Benzylpenicillin 2.4MU,2.4MU,Injectable,Miscellaneous items
DN101200,"Calcium gluconate 10%, 10ml",10.00%,Injectable,Miscellaneous items
DN101400,"Oxytocin 10 IU/ml, 1ml",10 IU/ml,Injectable,Miscellaneous items
DN101700,"Gentamicin Sulphate 10mg/ml, 2ml",10mg/ml,Injectable,Miscellaneous items
DN101800,"Gentamicin Sulphate 40mg/ml, 2ml",40mg/ml,Injectable,Miscellaneous items
DN101850,Gluteraldehyde solution 2% buffered (Cidex) with activator,2.00%,Solution,Miscellaneous items
DN101860,Hand wash disinfectant bottle,1,Supply,Miscellaneous items
DN102100,"Artesunate 60mg for inj+sodium carbonate 5%, 1ml+NACL 0.9%,",60mg,Supply,Miscellaneous items
DN260200,"Azithromycin dihydrate 200mg base/5ml suspension, 15ml",200mg/5ml,Syrup,Miscellaneous items
DN260300,Magnesium Sulphate Injection 500mg,500mg,Injectable,Miscellaneous items
DN260500,Clotrimazole 100mg vaginal,100mg,Pessary,Miscellaneous items
DN260600,"Clotrimazole 500mg vaginal tablet (blister 10 x 10, with app",500mg,N/A,Miscellaneous items
DN260900,Chlorinated lime HTH (Calcium hypochlorite) 70%,70.00%,N/A,Miscellaneous items
DN261000,"Chlorhexidine digluconate solution 7.1%, 10ml",7.10%,N/A,Miscellaneous items
DN261100,Reusable Equipment Kit,1,Supply,Miscellaneous items
DN261300,Disposable Equipment and Drugs Kit,1,Supply,Miscellaneous items
DN261400,Sexially Transmitted Injection Kit,1,Supply,Miscellaneous items
DN261500,Sitostrerol Herbal Ointment 0.25%,0.25%,Ointment,Miscellaneous items
DN261600,Clean derivery,1,Supply,Miscellaneous items
DN261700,Rape Kit,1,Supply,Miscellaneous items
DN261800,Autoclavable Test Tubes,1,Supply,Miscellaneous items
DN262000,Oral Band Injectable Contraceptive,1,Injectable,Miscellaneous items
DN262850,Adrenaline 1mg/ml,1,Injectable,Miscellaneous items
DN263100,Blood Collection Needle,1,Supply,Miscellaneous items
DN263110,"Blood collection tube 4ml, EDTA K2, PET plastic bottle with",1,Supply,Miscellaneous items
DN263120,Frame tent partitions+side walls white bundles 6mx12m,1,Supply,Miscellaneous items
DN263130,Frame tent covers+ground sheets 6mx12m,1,Supply,Miscellaneous items
DN263140,"Horizontal table top autoclave falcon SA252F, capacity 24 Lt",1,Supply,Miscellaneous items
DN263150,Bupivacaine spinal hyperbaric 0.5%,0.50%,NA,Miscellaneous items
DN263151,"Horizontal table top autoclave falcon SA300H, capacity 40 Li",1,Supply,Miscellaneous items
DN263160,Infectious sample transport box BioPack 1,1,Supply,Miscellaneous items
DN263170,Liquid soap,1,Supply,Miscellaneous items
DN263180,Pulsoximeter Nonin Onyx vantage 9590 unit,1,Supply,Miscellaneous items
DN263190,"Tent, light weight, rectangular, 72m2",1,Supply,Miscellaneous items
DN264300,Magnesium Sulphate Injection 50%,50.00%,Injectable,Miscellaneous items
DN266154,"UNFPA RH Kit 6B, clinical delivery assistance, drugs and dis",1,Supply,Miscellaneous items
DN266155,"UNFPA RH Kit 8, management of miscarriage and complications",1,Supply,Miscellaneous items
DN266157,"UNFPA RH Kit 11B, referral level b (fluorescent green)",1,Supply,Miscellaneous items
DN560000,Stainless steel bed pans,1,Supply,Miscellaneous items
DN560050,Buckests/lids (50 litres) no taps,1,Supply,Miscellaneous items
DN560051,Buckets with lid and tap 40 litres,1,Supply,Miscellaneous items
DN560052,Buckets with lid and tap 60 litres,1,Supply,Miscellaneous items
DN560053,Mopping buckets with wheels,1,Supply,Miscellaneous items
DN560054,Wide shallow heavy duty basins 60 litres,1,Supply,Miscellaneous items
DN600200,"Hospital bed, 195x90cm, 2-saction with mattress frame",1,Supply,Miscellaneous items
DN999200,WHO Donation,1,N/A,Miscellaneous items
DN999300,Indian donation,1,N/A,Miscellaneous items
DN999600,Male circumcision medical procedure kits,1,N/A,Miscellaneous items
EE000900,"Activated charcoal powder, 500g",,Powder,Galenicals
EE001200,"Acyclovir eye ointment 3%, 5g",5g,Oitment,Galenicals
EE001201,Acyclovir 5% Cream,5.00%,Cream,Galenicals
EE001500,Adacin Cream 15g,15g,Cream,Galenicals
EE001800,"Alcohol 96%, 5L",96.00%,Solution,Galenicals
EE001850,"Amethocaine hydrochloride eye drops 1% , 1ml",1.00%,drop,Galenicals
EE002100,"Amethocaine hydrochloride eye drops 1% , 5ml",1.00%,drop,Galenicals
EE002400,"Amethocaine hydrochloride eye drops 1%, 20ml",1.00%,drop,Galenicals
EE002700,"Amoxycillin 125mg/5ml suspension, PFR to make 100ml",125mg/5ml,Suspension,Galenicals
EE003000,Amoxycillin/Clavulanic acid 125 mg/31.25 mg per 5 ml.PFR,125mg/31.25mg/5mls,Suspension,Galenicals
EE003300,"Atropine Sulphate eye drops 0.5%, 5ml",0.50%,drop,Galenicals
EE003600,Atropine Sulphate Eye Drops 1% 5ml,1.00%,drop,Galenicals
EE003900,"Beclomethasone diproprionate inhalation, 50mcg/dose, 200 doses",50mcg,inhalation,Galenicals
EE004200,"Benzoic acid 1%+ salicylic acid 2% compound lotion, 500ml",1%/2%,Lotion,Galenicals
EE004500,"Benzoic acid 6% + salicylic acid 3% ointment, 500g",6%/3%,Oitment,Galenicals
EE004510,Benzoic acid 6% + salicylic acid 3% Lotion,06%/3%,Lotion,Galenicals
EE004800,"Benzyl benzoate application 25%, 500ml",25.00%,Emulsion,Galenicals
EE005400,Benzyl Peroxide Gel 2.5%,2.50%,Gel,Galenicals
EE005700,Benzyl Peroxide Gel 5%,5.00%,Gel,Galenicals
EE006000,"Betamethasone 0.1% ? Neomycin 0.5% Eye Ointment, 3g",0.1%/0.5%,Ointment,Galenicals
EE006300,"Betamethasone cream 0.1%, 15g",15g,Cream,Galenicals
EE006600,"Betamethasone sodium ear drops 0.1%, 10ml",0.10%,Solution,Galenicals
EE007500,Bismuth subgallate compound suppositories,1,Suppository,Galenicals
EE007800,"Black disinfectant, 5L",1,Solution,Galenicals
EE008400,"Calamine lotion 15%+ sulphur 2%, 500ml",15%/2%,Lotion,Galenicals
EE008450,"Calamine Lotion 15%, Zinc oxide 5%, Sulphur 5%, 500ml",15%/5%/5%,Lotion,Galenicals
EE008700,"Calamine lotion aqueous 15%, 500ml",15%/2%,Lotion,Galenicals
EE009000,"Cetrimide 15% + chlorhexidine 1.5% solution.for dilution, 5L",15%/1.5%,Solution,Galenicals
EE009300,Chloramphenicol 0.5% + Dexamethasone 0.1% 10 ml,0.5%/0.1%,Solution,Galenicals
EE009600,Chloramphenicol 1% Eye Ointment 5g,1.00%,Ointment,Galenicals
EE009900,"Chloramphenicol 125mg/5ml, PFR, to make 100ml",125mg/5ml,Suspension,Galenicals
EE010200,"Chloramphenicol ear drops 5%, 5ml",5.00%,Drop,Galenicals
EE010500,"Chloramphenicol eye drops 0.5%, 5ml",0.50%,drop,Galenicals
EE010501,Chloramphenicol 0.5% + Mercuric Nitrate 0.002%5ml,0.5%/0.002%,NA,Galenicals
EE010502,Chloramphenicol eye/ear drops 0.5% 5ml,0.50%,drop,Galenicals
EE010800,"Chlorhexidine 1.5% solution, 5ml",1.50%,Solution,Galenicals
EE011100,"Chlorhexidine 4% solution, 5ml",4.00%,Solution,Galenicals
EE011400,Chlorhexidine mouthwash(Andolex Mouth Wash),1,Solution,Galenicals
EE011700,"Chlorinated lime HTH (Sodium hypochlorite) 70%, 50Kg",50kg,Granule,Galenicals
EE012000,"Chlorpheniramine 2mg/5ml suspension, 100ml",2mg/5ml,Suspension,Galenicals
EE012300,"Ciprofloxacin ear/eye drops 0.3mg/ml, 5ml",0.3mg/ml,Solution,Galenicals
EE012301,"Ciprofloxacin eye drops, 0.3%, 5ml",0.30%,drop,Galenicals
